[2020-11-16 16:48:51]	RCC - prev: {"nu":87,"lrn":8,"rev":58}, current: {"nu":87,"lrn":7,"rev":58}
[2020-11-16 16:48:51]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 16:48:57]	RCC - prev: {"nu":87,"lrn":7,"rev":58}, current: {"nu":87,"lrn":6,"rev":58}
[2020-11-16 16:48:57]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 16:48:58]	RCC - prev: {"nu":87,"lrn":6,"rev":58}, current: {"nu":87,"lrn":5,"rev":58}
[2020-11-16 16:48:58]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 16:49:12]	RCC - prev: {"nu":87,"lrn":5,"rev":58}, current: {"nu":87,"lrn":4,"rev":58}
[2020-11-16 16:49:12]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 16:49:16]	RCC - prev: {"nu":87,"lrn":4,"rev":58}, current: {"nu":87,"lrn":3,"rev":58}
[2020-11-16 16:49:16]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 16:49:18]	RCC - prev: {"nu":87,"lrn":3,"rev":58}, current: {"nu":86,"lrn":5,"rev":58}
[2020-11-16 16:49:18]	 - Output instruction: {"instType":1,"dy":0,"logType":"new"}
[2020-11-16 16:49:29]	RCC - prev: {"nu":86,"lrn":5,"rev":58}, current: {"nu":85,"lrn":6,"rev":58}
[2020-11-16 16:49:29]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 16:49:41]	RCC - prev: {"nu":85,"lrn":6,"rev":58}, current: {"nu":84,"lrn":8,"rev":58}
[2020-11-16 16:49:41]	 - Output instruction: {"instType":1,"dy":0,"logType":"new"}
[2020-11-16 16:49:43]	RCC - prev: {"nu":84,"lrn":8,"rev":58}, current: {"nu":83,"lrn":9,"rev":58}
[2020-11-16 16:49:43]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 16:49:48]	RCC - prev: {"nu":83,"lrn":9,"rev":58}, current: {"nu":82,"lrn":10,"rev":58}
[2020-11-16 16:49:48]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 16:50:48]	 - Output instruction: {"instType":2}
[2020-11-16 16:50:50]	RCC - prev: {"nu":82,"lrn":10,"rev":58}, current: {"nu":81,"lrn":11,"rev":58}
[2020-11-16 16:50:50]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 16:50:52]	RCC - prev: {"nu":81,"lrn":11,"rev":58}, current: {"nu":81,"lrn":10,"rev":58}
[2020-11-16 16:50:52]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 16:50:54]	RCC - prev: {"nu":81,"lrn":10,"rev":58}, current: {"nu":81,"lrn":9,"rev":58}
[2020-11-16 16:50:54]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 16:51:00]	RCC - prev: {"nu":81,"lrn":9,"rev":58}, current: {"nu":81,"lrn":8,"rev":58}
[2020-11-16 16:51:00]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 16:51:21]	RCC - prev: {"nu":81,"lrn":8,"rev":58}, current: {"nu":80,"lrn":9,"rev":58}
[2020-11-16 16:51:21]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 16:51:22]	 - Output instruction: {"instType":3}
[2020-11-16 16:51:26]	RCC - prev: {"nu":81,"lrn":8,"rev":58}, current: {"nu":80,"lrn":9,"rev":58}
[2020-11-16 16:51:26]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 16:52:31]	 - Output instruction: {"instType":2}
[2020-11-16 16:52:49]	RCC - prev: {"nu":80,"lrn":9,"rev":58}, current: {"nu":80,"lrn":9,"rev":58}
[2020-11-16 16:52:49]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-11-16 16:55:06]	 - Output instruction: {"instType":2}
[2020-11-16 16:55:07]	RCC - prev: {"nu":80,"lrn":9,"rev":58}, current: {"nu":80,"lrn":8,"rev":58}
[2020-11-16 16:55:07]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 16:56:53]	 - Output instruction: {"instType":2}
[2020-11-16 16:57:01]	 - Output instruction: {"instType":2}
[2020-11-16 16:57:09]	 - Output instruction: {"instType":2}
[2020-11-16 16:57:10]	RCC - prev: {"nu":80,"lrn":8,"rev":58}, current: {"nu":79,"lrn":9,"rev":58}
[2020-11-16 16:57:10]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 16:57:19]	RCC - prev: {"nu":79,"lrn":9,"rev":58}, current: {"nu":78,"lrn":11,"rev":58}
[2020-11-16 16:57:19]	 - Output instruction: {"instType":1,"dy":0,"logType":"new"}
[2020-11-16 16:57:21]	RCC - prev: {"nu":78,"lrn":11,"rev":58}, current: {"nu":78,"lrn":11,"rev":58}
[2020-11-16 16:57:21]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-11-16 16:57:26]	RCC - prev: {"nu":78,"lrn":11,"rev":58}, current: {"nu":77,"lrn":12,"rev":58}
[2020-11-16 16:57:26]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 16:59:52]	 - Output instruction: {"instType":2}
[2020-11-16 16:59:54]	RCC - prev: {"nu":77,"lrn":12,"rev":58}, current: {"nu":76,"lrn":13,"rev":58}
[2020-11-16 16:59:54]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 17:00:00]	 - Output instruction: {"instType":2}
[2020-11-16 17:00:10]	RCC - prev: {"nu":76,"lrn":13,"rev":58}, current: {"nu":76,"lrn":12,"rev":58}
[2020-11-16 17:00:10]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 17:00:26]	RCC - prev: {"nu":76,"lrn":12,"rev":58}, current: {"nu":75,"lrn":13,"rev":58}
[2020-11-16 17:00:26]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 17:01:40]	 - Output instruction: {"instType":2}
[2020-11-16 17:01:42]	RCC - prev: {"nu":75,"lrn":13,"rev":58}, current: {"nu":74,"lrn":14,"rev":58}
[2020-11-16 17:01:42]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 17:01:45]	RCC - prev: {"nu":74,"lrn":14,"rev":58}, current: {"nu":73,"lrn":15,"rev":58}
[2020-11-16 17:01:45]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 17:02:11]	RCC - prev: {"nu":73,"lrn":15,"rev":58}, current: {"nu":72,"lrn":17,"rev":58}
[2020-11-16 17:02:11]	 - Output instruction: {"instType":1,"dy":0,"logType":"new"}
[2020-11-16 17:02:25]	RCC - prev: {"nu":72,"lrn":17,"rev":58}, current: {"nu":72,"lrn":18,"rev":58}
[2020-11-16 17:02:25]	 - Output instruction: {"instType":1,"dy":-1,"logType":"again"}
[2020-11-16 17:02:27]	 - Output instruction: {"instType":3}
[2020-11-16 17:02:28]	RCC - prev: {"nu":72,"lrn":17,"rev":58}, current: {"nu":72,"lrn":18,"rev":58}
[2020-11-16 17:02:28]	 - Output instruction: {"instType":1,"dy":-1,"logType":"again"}
[2020-11-16 17:05:20]	 - Output instruction: {"instType":2}
[2020-11-16 17:05:25]	RCC - prev: {"nu":72,"lrn":18,"rev":58}, current: {"nu":71,"lrn":20,"rev":58}
[2020-11-16 17:05:25]	 - Output instruction: {"instType":1,"dy":0,"logType":"new"}
[2020-11-16 17:05:27]	 - Output instruction: {"instType":3}
[2020-11-16 17:05:44]	 - Output instruction: {"instType":2}
[2020-11-16 17:05:46]	RCC - prev: {"nu":72,"lrn":18,"rev":58}, current: {"nu":71,"lrn":20,"rev":58}
[2020-11-16 17:05:46]	 - Output instruction: {"instType":1,"dy":0,"logType":"new"}
[2020-11-16 17:05:49]	RCC - prev: {"nu":71,"lrn":20,"rev":58}, current: {"nu":71,"lrn":19,"rev":58}
[2020-11-16 17:05:49]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 17:05:51]	RCC - prev: {"nu":71,"lrn":19,"rev":58}, current: {"nu":71,"lrn":18,"rev":58}
[2020-11-16 17:05:51]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 17:05:52]	RCC - prev: {"nu":71,"lrn":18,"rev":58}, current: {"nu":71,"lrn":17,"rev":58}
[2020-11-16 17:05:52]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 17:06:25]	RCC - prev: {"nu":71,"lrn":17,"rev":58}, current: {"nu":71,"lrn":16,"rev":58}
[2020-11-16 17:06:25]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 17:07:27]	 - Output instruction: {"instType":2}
[2020-11-16 17:07:38]	 - Output instruction: {"instType":2}
[2020-11-16 17:07:41]	RCC - prev: {"nu":71,"lrn":16,"rev":58}, current: {"nu":71,"lrn":15,"rev":58}
[2020-11-16 17:07:41]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 17:08:06]	 - Output instruction: {"instType":2}
[2020-11-16 17:08:07]	RCC - prev: {"nu":71,"lrn":15,"rev":58}, current: {"nu":71,"lrn":14,"rev":58}
[2020-11-16 17:08:07]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 17:08:09]	RCC - prev: {"nu":71,"lrn":14,"rev":58}, current: {"nu":71,"lrn":13,"rev":58}
[2020-11-16 17:08:09]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 17:08:15]	RCC - prev: {"nu":71,"lrn":13,"rev":58}, current: {"nu":71,"lrn":12,"rev":58}
[2020-11-16 17:08:15]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 17:08:16]	RCC - prev: {"nu":71,"lrn":12,"rev":58}, current: {"nu":71,"lrn":11,"rev":58}
[2020-11-16 17:08:16]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 17:08:17]	RCC - prev: {"nu":71,"lrn":11,"rev":58}, current: {"nu":71,"lrn":10,"rev":58}
[2020-11-16 17:08:17]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 17:08:30]	RCC - prev: {"nu":71,"lrn":10,"rev":58}, current: {"nu":71,"lrn":10,"rev":58}
[2020-11-16 17:08:30]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-11-16 17:08:47]	RCC - prev: {"nu":71,"lrn":10,"rev":58}, current: {"nu":70,"lrn":10,"rev":58}
[2020-11-16 17:08:47]	 - Output instruction: {"instType":1,"dy":2,"logType":"new"}
[2020-11-16 17:09:18]	RCC - prev: {"nu":70,"lrn":10,"rev":58}, current: {"nu":69,"lrn":11,"rev":58}
[2020-11-16 17:09:18]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 17:09:23]	RCC - prev: {"nu":69,"lrn":11,"rev":58}, current: {"nu":69,"lrn":11,"rev":58}
[2020-11-16 17:09:23]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-11-16 17:09:27]	 - Output instruction: {"instType":2}
[2020-11-16 17:10:27]	RCC - prev: {"nu":69,"lrn":11,"rev":58}, current: {"nu":68,"lrn":12,"rev":58}
[2020-11-16 17:10:27]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-16 17:10:29]	RCC - prev: {"nu":68,"lrn":12,"rev":58}, current: {"nu":68,"lrn":11,"rev":58}
[2020-11-16 17:10:29]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 17:10:30]	RCC - prev: {"nu":68,"lrn":11,"rev":58}, current: {"nu":68,"lrn":10,"rev":58}
[2020-11-16 17:10:30]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 17:10:38]	 - Output instruction: {"instType":2}
[2020-11-16 23:46:03]	RCC - prev: {"nu":68,"lrn":10,"rev":58}, current: {"nu":68,"lrn":10,"rev":58}
[2020-11-16 23:46:03]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-11-16 23:46:05]	RCC - prev: {"nu":68,"lrn":10,"rev":58}, current: {"nu":68,"lrn":9,"rev":58}
[2020-11-16 23:46:05]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-16 23:46:22]	RCC - prev: {"nu":68,"lrn":9,"rev":58}, current: {"nu":68,"lrn":8,"rev":58}
[2020-11-16 23:46:22]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 00:41:24]	 - Output instruction: {"instType":2}
[2020-11-17 00:41:36]	RCC - prev: {"nu":68,"lrn":8,"rev":58}, current: {"nu":68,"lrn":7,"rev":58}
[2020-11-17 00:41:36]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 00:42:05]	RCC - prev: {"nu":68,"lrn":7,"rev":58}, current: {"nu":68,"lrn":6,"rev":58}
[2020-11-17 00:42:05]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 00:42:14]	RCC - prev: {"nu":68,"lrn":6,"rev":58}, current: {"nu":68,"lrn":5,"rev":58}
[2020-11-17 00:42:14]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 00:42:16]	RCC - prev: {"nu":68,"lrn":5,"rev":58}, current: {"nu":68,"lrn":4,"rev":58}
[2020-11-17 00:42:16]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 00:42:25]	RCC - prev: {"nu":68,"lrn":4,"rev":58}, current: {"nu":68,"lrn":3,"rev":58}
[2020-11-17 00:42:25]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 00:42:28]	RCC - prev: {"nu":68,"lrn":3,"rev":58}, current: {"nu":68,"lrn":2,"rev":58}
[2020-11-17 00:42:28]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 00:43:00]	RCC - prev: {"nu":68,"lrn":2,"rev":58}, current: {"nu":68,"lrn":1,"rev":58}
[2020-11-17 00:43:00]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 00:45:42]	 - Output instruction: {"instType":2}
[2020-11-17 00:45:46]	RCC - prev: {"nu":68,"lrn":1,"rev":58}, current: {"nu":68,"lrn":0,"rev":58}
[2020-11-17 00:45:46]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 00:46:06]	 - Output instruction: {"instType":2}
[2020-11-17 00:46:22]	 - Output instruction: {"instType":2}
[2020-11-17 00:46:23]	RCC - prev: {"nu":68,"lrn":0,"rev":58}, current: {"nu":67,"lrn":1,"rev":58}
[2020-11-17 00:46:23]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-17 00:46:26]	RCC - prev: {"nu":67,"lrn":1,"rev":58}, current: {"nu":66,"lrn":2,"rev":58}
[2020-11-17 00:46:26]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-17 00:46:27]	RCC - prev: {"nu":66,"lrn":2,"rev":58}, current: {"nu":65,"lrn":3,"rev":58}
[2020-11-17 00:46:27]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-17 00:46:28]	RCC - prev: {"nu":65,"lrn":3,"rev":58}, current: {"nu":64,"lrn":4,"rev":58}
[2020-11-17 00:46:28]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-17 00:46:32]	RCC - prev: {"nu":64,"lrn":4,"rev":58}, current: {"nu":63,"lrn":5,"rev":58}
[2020-11-17 00:46:32]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-17 00:47:01]	 - Output instruction: {"instType":2}
[2020-11-17 00:47:03]	RCC - prev: {"nu":63,"lrn":5,"rev":58}, current: {"nu":62,"lrn":7,"rev":58}
[2020-11-17 00:47:03]	 - Output instruction: {"instType":1,"dy":0,"logType":"new"}
[2020-11-17 00:47:08]	 - Output instruction: {"instType":3}
[2020-11-17 00:47:14]	 - Output instruction: {"instType":2}
[2020-11-17 00:47:19]	RCC - prev: {"nu":63,"lrn":5,"rev":58}, current: {"nu":62,"lrn":7,"rev":58}
[2020-11-17 00:47:19]	 - Output instruction: {"instType":1,"dy":0,"logType":"new"}
[2020-11-17 00:47:25]	RCC - prev: {"nu":62,"lrn":7,"rev":58}, current: {"nu":61,"lrn":8,"rev":58}
[2020-11-17 00:47:25]	 - Output instruction: {"instType":1,"dy":1,"logType":"new"}
[2020-11-17 00:47:46]	RCC - prev: {"nu":61,"lrn":8,"rev":58}, current: {"nu":60,"lrn":10,"rev":58}
[2020-11-17 00:47:46]	 - Output instruction: {"instType":1,"dy":0,"logType":"new"}
[2020-11-17 00:59:52]	RCC - prev: {"nu":60,"lrn":10,"rev":58}, current: {"nu":60,"lrn":10,"rev":58}
[2020-11-17 00:59:52]	 - Output instruction: {"instType":1,"dy":0,"logType":"again"}
[2020-11-17 00:59:56]	RCC - prev: {"nu":60,"lrn":10,"rev":58}, current: {"nu":60,"lrn":9,"rev":58}
[2020-11-17 00:59:56]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 01:00:05]	RCC - prev: {"nu":60,"lrn":9,"rev":58}, current: {"nu":60,"lrn":8,"rev":58}
[2020-11-17 01:00:05]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 01:00:16]	RCC - prev: {"nu":60,"lrn":8,"rev":58}, current: {"nu":60,"lrn":7,"rev":58}
[2020-11-17 01:00:16]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 01:00:17]	RCC - prev: {"nu":60,"lrn":7,"rev":58}, current: {"nu":60,"lrn":6,"rev":58}
[2020-11-17 01:00:17]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 01:00:19]	RCC - prev: {"nu":60,"lrn":6,"rev":58}, current: {"nu":60,"lrn":5,"rev":58}
[2020-11-17 01:00:19]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 01:00:22]	RCC - prev: {"nu":60,"lrn":5,"rev":58}, current: {"nu":60,"lrn":4,"rev":58}
[2020-11-17 01:00:22]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
[2020-11-17 01:00:24]	RCC - prev: {"nu":60,"lrn":4,"rev":58}, current: {"nu":60,"lrn":3,"rev":58}
[2020-11-17 01:00:24]	 - Output instruction: {"instType":1,"dy":1,"logType":"good"}
